File name,Color,Polymer,Matching
AI58_35_17.csv,transparent,PE,0.98
AI58_35_18.csv,white,PE,0.97
AI58_35_19.csv,white,PE,0.97
AI58_35_20.csv,white,PE,0.97
AI58_35_21.csv,black,PE,0.98
AI58_35_22.csv,gray,PE,0.98
AI58_35_23.csv,green,PP,0.96
AI58_35_24.csv,beige,PP,0.9
AI58_35_25.csv,white,PE,0.96
AI58_35_26.csv,white,PE,0.97
AI58_35_27.csv,white,PE,0.98
AI58_35_28.csv,white,PP,0.96
AI58_35_29.csv,white,PE,0.97
AI58_35_30.csv,white,PE,0.98
AI58_35_31.csv,black,PE,0.92
AI58_35_32.csv,black,PP,0.96
AI58_35_33.csv,gray,PE,0.98
AI58_35_36.csv,white,PP,0.96
AI58_35_37.csv,white,PE,0.97
AI58_35_38.csv,gray,PP,0.94
AI58_35_39.csv,gray,PE,0.99
AI58_35_41.csv,gray,PE,0.97
AI58_35_42.csv,black,PE,0.94
AI58_35_43.csv,white,PP,0.97
AI58_36_1.csv,transparent,PE,0.98
AI58_36_2.csv,white,PS,0.96
AI58_36_3.csv,white,PE,0.97
AI58_36_4.csv,white,PE,0.98
AI58_36_5.csv,beige,PE,0.98
AI58_36_6.csv,transparent,PE,0.97
AI58_36_7.csv,transparent,PP,0.97
AI58_37_1.csv,white,PS,0.95
AI58_37_2.csv,transparent,PE,0.96
AI58_37_3.csv,transparent,PE,0.97
AI58_37_4.csv,gray,PE,0.97
AI58_37_5.csv,transparent,PE,0.97
AI58_37_6.csv,transparent,PE,0.99
AI58_37_7.csv,white,PP,0.95
AI58_3_1.csv,white,PE,0.79
AI58_3_2.csv,white,PS,0.84
AI58_3_3.csv,white,PS,0.82
AI58_3_5_001.csv,gray,PP,0.72
AI58_3_6.csv,gray,PP,0.88
AI58_3_7.csv,white,PS,0.91
AI58_3_8.csv,green,PE,0.96
AI58_40_1.csv,white,PE,0.99
AI58_40_2.csv,transparent,PP,0.97
AI58_41_3.csv,transparent,PE,0.98
AI58_42_1.csv,white,PE,0.93
AI58_42_2.csv,yellow,PP,0.91
AI58_42_3.csv,yellow,PE,0.97
AI58_42_5.csv,transparent,PE,0.96
AI58_42_6.csv,white,PE,0.95
AI58_42_7.1.csv,white,PE,0.95
AI58_44_1.1.csv,,PE,0.98
AI58_4_1.csv,white,PS,0.97
AI58_4_2.csv,green,PE,0.95
